"cond","needs","nfc","age","gender","relation_type","rel_val","expect"
3,2.25,4.4,20,"Woman","Friendship",2.6,3
1,2.75,4.73333333333333,26,"Woman","Friendship",5.4,5
3,3.5,4.73333333333333,26,"Woman","Romantic Relationship",5.6,7
2,5.5,4.66666666666667,29,"Man","Romantic Relationship",5.8,5
1,1.75,4.6,21,"Man","Friendship",5.2,7
2,4.5,5.26666666666667,21,"Man","Casually Dating",7,6
1,2.25,4.73333333333333,23,"Woman","Casually Dating",3.8,6
3,1.375,5.26666666666667,28,"Woman","Friendship",6,4
2,6.5,6.2,29,"Woman","Friendship",3.6,7
1,1,5.4,27,"Woman","Romantic Relationship",6.4,7
2,3.25,3.86666666666667,23,"Other","Friendship",4.4,5
2,6,5.4,27,"Man","Friendship",6.4,7
3,4.625,5.33333333333333,25,"Man","Friendship",6.4,7
2,6.125,6,29,"Woman","Romantic Relationship",6,7
1,2.5,5,29,"Man","Friendship",4.2,5
1,2.75,5.46666666666667,29,"Man","Casually Dating",6.4,2
1,2,5.6,24,"Woman","Casually Dating",1.4,6
2,6.75,6.6,24,"Woman","Friendship",6.6,6
3,1.375,4.8,26,"Woman","Romantic Relationship",6.4,3
1,4.125,4.26666666666667,28,"Man","Friendship",4.4,5
3,1.375,6.2,24,"Other","Romantic Relationship",6.6,4
3,3.5,5.33333333333333,29,"Man","Romantic Relationship",5.6,5
3,2.25,3.33333333333333,25,"Man","Romantic Relationship",5.8,6
1,1,7,25,"Man","Friendship",7,7
2,5.625,4.53333333333333,23,"Woman","Friendship",3,3
3,2,4.26666666666667,28,"Woman","Friendship",6,7
2,6.5,4.13333333333333,27,"Woman","Friendship",6,5
3,1.875,5.6,29,"Man","Friendship",6.2,6
1,1.5,4.06666666666667,19,"Woman","Romantic Relationship",5.6,7
2,6.5,5.4,21,"Woman","Romantic Relationship",5.8,7
1,2.5,4.8,23,"Woman","Casually Dating",3.2,4
2,6.375,5.93333333333333,24,"Man","Casually Dating",6.6,3
2,5.75,5.2,20,"Woman","Friendship",4.2,3
3,1,5.4,26,"Woman","Romantic Relationship",6.8,7
3,2.875,3.6,26,"Woman","Romantic Relationship",6.8,7
1,2.5,4.33333333333333,28,"Woman","Casually Dating",1.2,5
3,2.25,4.86666666666667,21,"Woman","Friendship",5.6,6
1,1.375,5.6,21,"Other","Casually Dating",4.4,6
2,4.375,4.06666666666667,28,"Man","Friendship",5,5
3,4,6,28,"Man","Romantic Relationship",4.8,4
1,4.875,4.4,28,"Man","Friendship",6.6,7
2,5,4.6,25,"Man","Friendship",5.4,2
1,1.5,5.13333333333333,26,"Woman","Casually Dating",3.4,3
1,1.625,3.4,26,"Woman","Romantic Relationship",6.2,2
3,4,4,21,"Woman","Romantic Relationship",4,6
2,5.75,4.13333333333333,29,"Man","Friendship",5.4,4
2,5.5,5.93333333333333,27,"Man","Romantic Relationship",5.8,5
3,1.625,4.2,22,"Man","Romantic Relationship",7,1
3,3.5,5.33333333333333,23,"Woman","Friendship",3.2,7
2,4,3.33333333333333,28,"Man","Friendship",6.8,7
1,1,4.6,23,"Man","Friendship",5.4,5
2,6.5,6.2,19,"Man","Friendship",1,7
1,1,6.73333333333333,26,"Woman","Friendship",7,7
3,1.875,5.33333333333333,26,"Man","Romantic Relationship",7,5
1,1.25,3.8,22,"Man","Friendship",5,3
2,6.5,3.66666666666667,28,"Man","Friendship",6,6
2,4,4,18,"Woman","Friendship",4,4
3,4,5.06666666666667,21,"Woman","Romantic Relationship",5.8,2
1,2.125,4.46666666666667,20,"Man","Romantic Relationship",6,6
1,3.375,5.06666666666667,20,"Woman","Friendship",3,5
3,1.625,4.8,24,"Woman","Casually Dating",5.4,4
2,6.625,5.86666666666667,19,"Woman","Romantic Relationship",5,5
3,2.25,6.26666666666667,25,"Woman","Romantic Relationship",3.2,5
3,3,6,27,"Man","Casually Dating",5.6,3
1,1,5.13333333333333,26,"Man","Friendship",3.6,7
3,3,4.6,21,"Woman","Romantic Relationship",7,3
3,4,5.06666666666667,20,"Woman","Friendship",3.4,4
1,1.875,4.73333333333333,29,"Other","Casually Dating",3.8,6
2,5.75,4.6,27,"Woman","Friendship",6.8,4
3,3.625,3.26666666666667,19,"Man","Friendship",3,3
2,5.75,3.86666666666667,22,"Man","Friendship",5.6,3
2,6.625,4.93333333333333,23,"Woman","Romantic Relationship",7,4
1,1.875,4.26666666666667,25,"Man","Friendship",6,7
3,3.5,4.26666666666667,28,"Man","Romantic Relationship",5,6
2,5.375,6.26666666666667,25,"Man","Romantic Relationship",7,7
3,3,1.53333333333333,19,"Man","Casually Dating",5.8,6
3,3.5,3.6,29,"Man","Casually Dating",4.6,6
1,2.25,5.86666666666667,26,"Woman","Friendship",5.4,5
2,5.625,3.8,23,"Man","Friendship",6,4
1,3.625,4.13333333333333,26,"Man","Friendship",4.6,5
3,1,5.73333333333333,23,"Woman","Friendship",6,7
2,6.125,4.73333333333333,23,"Woman","Friendship",6,4
3,2.5,4.13333333333333,23,"Man","Casually Dating",6,6
1,1.875,3.33333333333333,28,"Woman","Romantic Relationship",5.8,6
2,6.5,4.2,28,"Man","Romantic Relationship",6.6,5
1,1,5,29,"Woman","Casually Dating",6.4,7
2,6.5,5.33333333333333,26,"Woman","Friendship",1.2,7
3,2.5,3,24,"Woman","Romantic Relationship",6.4,2
2,6.625,6.06666666666667,29,"Man","Friendship",6.4,3
3,2.25,5.6,22,"Other","Romantic Relationship",7,7
1,2.125,4.26666666666667,26,"Man","Friendship",5.6,4
2,6.375,5.13333333333333,22,"Man","Romantic Relationship",6.2,2
2,6.25,4.53333333333333,28,"Woman","Romantic Relationship",6,4
2,5,5.4,28,"Woman","Casually Dating",3.6,5
1,2.125,5.6,28,"Woman","Friendship",6.4,4
3,2.875,4.53333333333333,24,"Woman","Casually Dating",5,6
3,1,6.06666666666667,28,"Woman","Romantic Relationship",7,7
2,6.375,3.6,27,"Woman","Casually Dating",5.6,5
1,2.375,3.93333333333333,26,"Woman","Romantic Relationship",4.2,6
3,5,4.86666666666667,28,"Woman","Romantic Relationship",5.6,5
1,1.875,4.66666666666667,29,"Man","Casually Dating",3.6,6
2,5.5,4.86666666666667,28,"Other","Friendship",5.2,6
