"id","likelihood","curstate","predout","tempdist","age","gender"
178,6,"war","peace","20yr",24,"female"
179,2,"war","peace","1yr",22,"male"
179,6,"war","peace","20yr",22,"male"
180,2,"war","peace","1yr",19,"male"
180,6,"war","peace","20yr",19,"male"
181,2,"war","peace","1yr",18,"male"
181,6,"war","peace","20yr",18,"male"
182,2,"war","peace","1yr",37,"female"
182,6,"war","peace","20yr",37,"female"
183,2,"war","peace","1yr",31,"female"
183,6,"war","peace","20yr",31,"female"
184,2,"war","peace","1yr",28,"male"
184,6,"war","peace","20yr",28,"male"
185,2,"war","peace","1yr",36,"male"
185,6,"war","peace","20yr",36,"male"
186,2,"war","peace","1yr",26,"male"
186,6,"war","peace","20yr",26,"male"
187,2,"war","peace","1yr",41,"female"
187,6,"war","peace","20yr",41,"female"
188,3,"war","peace","1yr",20,"male"
188,4,"war","peace","20yr",20,"male"
189,3,"war","peace","1yr",44,"female"
189,4,"war","peace","20yr",44,"female"
190,3,"war","peace","1yr",26,"female"
190,5,"war","peace","20yr",26,"female"
191,3,"war","peace","1yr",46,"female"
191,5,"war","peace","20yr",46,"female"
192,3,"war","peace","1yr",44,"female"
192,5,"war","peace","20yr",44,"female"
193,3,"war","peace","1yr",29,"female"
193,5,"war","peace","20yr",29,"female"
194,3,"war","peace","1yr",43,"female"
194,5,"war","peace","20yr",43,"female"
195,3,"war","peace","1yr",18,"male"
195,6,"war","peace","20yr",18,"male"
196,3,"war","peace","1yr",30,"female"
196,6,"war","peace","20yr",30,"female"
197,3,"war","peace","1yr",21,"male"
197,6,"war","peace","20yr",21,"male"
198,3,"war","peace","1yr",31,"female"
198,6,"war","peace","20yr",31,"female"
199,3,"war","peace","1yr",27,"female"
199,6,"war","peace","20yr",27,"female"
200,3,"war","peace","1yr",22,"female"
200,6,"war","peace","20yr",22,"female"
201,3,"war","peace","1yr",43,"male"
201,6,"war","peace","20yr",43,"male"
202,3,"war","peace","1yr",18,"male"
202,6,"war","peace","20yr",18,"male"
203,3,"war","peace","1yr",51,"female"
203,6,"war","peace","20yr",51,"female"
204,3,"war","peace","1yr",40,"male"
204,6,"war","peace","20yr",40,"male"
205,3,"war","peace","1yr",21,"female"
205,7,"war","peace","20yr",21,"female"
206,4,"war","peace","1yr",38,"female"
206,4,"war","peace","20yr",38,"female"
207,4,"war","peace","1yr",39,"female"
207,4,"war","peace","20yr",39,"female"
208,4,"war","peace","1yr",20,"male"
208,4,"war","peace","20yr",20,"male"
209,4,"war","peace","1yr",43,"male"
209,7,"war","peace","20yr",43,"male"
210,5,"war","peace","1yr",23,"female"
210,4,"war","peace","20yr",23,"female"
211,5,"war","peace","1yr",26,"female"
211,6,"war","peace","20yr",26,"female"
212,5,"war","peace","1yr",22,"male"
212,6,"war","peace","20yr",22,"male"
213,5,"war","peace","1yr",19,"female"
213,6,"war","peace","20yr",19,"female"
214,7,"war","peace","1yr",18,"male"
214,4,"war","peace","20yr",18,"male"
215,7,"war","peace","1yr",49,"male"
215,6,"war","peace","20yr",49,"male"
216,1,"war","war","1yr",31,"female"
216,6,"war","war","20yr",31,"female"
217,2,"war","war","1yr",53,"female"
217,1,"war","war","20yr",53,"female"
218,2,"war","war","1yr",19,"female"
218,3,"war","war","20yr",19,"female"
219,2,"war","war","1yr",48,"female"
219,6,"war","war","20yr",48,"female"
220,2,"war","war","1yr",53,"male"
220,6,"war","war","20yr",53,"male"
221,3,"war","war","1yr",18,"female"
221,5,"war","war","20yr",18,"female"
222,4,"war","war","1yr",32,"female"
222,3,"war","war","20yr",32,"female"
223,4,"war","war","1yr",34,"male"
223,4,"war","war","20yr",34,"male"
224,4,"war","war","1yr",24,"female"
224,4,"war","war","20yr",24,"female"
225,4,"war","war","1yr",24,"male"
225,4,"war","war","20yr",24,"male"
226,4,"war","war","1yr",20,"male"
226,5,"war","war","20yr",20,"male"
227,5,"war","war","1yr",30,"male"
227,2,"war","war","20yr",30,"male"
228,5,"war","war","1yr",39,"male"
228,2,"war","war","20yr",39,"male"
229,5,"war","war","1yr",35,"male"
229,2,"war","war","20yr",35,"male"
230,5,"war","war","1yr",28,"female"
230,3,"war","war","20yr",28,"female"
231,5,"war","war","1yr",34,"other"
231,3,"war","war","20yr",34,"other"
232,5,"war","war","1yr",21,"male"
232,3,"war","war","20yr",21,"male"
233,5,"war","war","1yr",23,"male"
233,4,"war","war","20yr",23,"male"
234,5,"war","war","1yr",29,"male"
234,4,"war","war","20yr",29,"male"
235,5,"war","war","1yr",44,"female"
235,5,"war","war","20yr",44,"female"
236,5,"war","war","1yr",32,"female"
236,5,"war","war","20yr",32,"female"
237,5,"war","war","1yr",34,"male"
237,5,"war","war","20yr",34,"male"
238,5,"war","war","1yr",27,"female"
238,6,"war","war","20yr",27,"female"
239,6,"war","war","1yr",24,"male"
239,1,"war","war","20yr",24,"male"
240,6,"war","war","1yr",32,"female"
240,2,"war","war","20yr",32,"female"
241,6,"war","war","1yr",73,"female"
241,2,"war","war","20yr",73,"female"
242,6,"war","war","1yr",21,"male"
242,2,"war","war","20yr",21,"male"
243,6,"war","war","1yr",20,"male"
243,2,"war","war","20yr",20,"male"
244,6,"war","war","1yr",18,"female"
244,3,"war","war","20yr",18,"female"
245,6,"war","war","1yr",35,"male"
245,3,"war","war","20yr",35,"male"
246,6,"war","war","1yr",30,"male"
246,3,"war","war","20yr",30,"male"
247,6,"war","war","1yr",34,"female"
247,3,"war","war","20yr",34,"female"
248,6,"war","war","1yr",27,"female"
248,3,"war","war","20yr",27,"female"
249,6,"war","war","1yr",19,"male"
249,3,"war","war","20yr",19,"male"
250,6,"war","war","1yr",35,"male"
250,3,"war","war","20yr",35,"male"
251,6,"war","war","1yr",26,"male"
251,4,"war","war","20yr",26,"male"
252,6,"war","war","1yr",22,"male"
252,4,"war","war","20yr",22,"male"
253,6,"war","war","1yr",18,"female"
253,4,"war","war","20yr",18,"female"
254,6,"war","war","1yr",22,"female"
254,4,"war","war","20yr",22,"female"
255,6,"war","war","1yr",31,"female"
255,5,"war","war","20yr",31,"female"
256,6,"war","war","1yr",21,"male"
256,5,"war","war","20yr",21,"male"
257,6,"war","war","1yr",20,"male"
257,5,"war","war","20yr",20,"male"
258,6,"war","war","1yr",35,"male"
258,5,"war","war","20yr",35,"male"
259,6,"war","war","1yr",34,"female"
259,5,"war","war","20yr",34,"female"
260,6,"war","war","1yr",42,"male"
260,6,"war","war","20yr",42,"male"
261,6,"war","war","1yr",58,"male"
261,6,"war","war","20yr",58,"male"
262,6,"war","war","1yr",22,"male"
262,6,"war","war","20yr",22,"male"
263,7,"war","war","1yr",39,"male"
263,2,"war","war","20yr",39,"male"
264,7,"war","war","1yr",54,"male"
264,3,"war","war","20yr",54,"male"
265,7,"war","war","1yr",32,"female"
265,4,"war","war","20yr",32,"female"
266,7,"war","war","1yr",25,"male"
266,4,"war","war","20yr",25,"male"
267,7,"war","war","1yr",27,"female"
267,5,"war","war","20yr",27,"female"
268,7,"war","war","1yr",19,"female"
268,5,"war","war","20yr",19,"female"
269,7,"war","war","1yr",29,"male"
269,5,"war","war","20yr",29,"male"
270,7,"war","war","1yr",18,"female"
270,6,"war","war","20yr",18,"female"
271,7,"war","war","1yr",24,"female"
271,6,"war","war","20yr",24,"female"
272,7,"war","war","1yr",23,"female"
272,6,"war","war","20yr",23,"female"
273,7,"war","war","1yr",19,"female"
273,6,"war","war","20yr",19,"female"
274,7,"war","war","1yr",41,"female"
274,6,"war","war","20yr",41,"female"
275,7,"war","war","1yr",31,"male"
275,6,"war","war","20yr",31,"male"
276,7,"war","war","1yr",26,"female"
276,7,"war","war","20yr",26,"female"
277,7,"war","war","1yr",64,"female"
277,7,"war","war","20yr",64,"female"
