"id","writer","cond","partner_time","task_time","room_time"
"119",TRUE,"video",36.346,230.656,30.668
"119",FALSE,"video",95.132,204.612,1.904
"120",TRUE,"video",86.564,213.52,0.17
"121",FALSE,"f2f",53.754,176.936,70.958
"121",TRUE,"f2f",27.336,125.188,147.458
"122",TRUE,"f2f",15.3,217.09,66.47
"122",FALSE,"f2f",90.644,186.864,23.528
"123",FALSE,"video",130.56,104.652,66.13
"123",TRUE,"video",46.104,253.062,1.836
"124",TRUE,"video",36.618,259.726,3.332
"124",FALSE,"video",116.62,183.022,1.598
"125",TRUE,"f2f",48.348,153.238,99.96
"125",FALSE,"f2f",136,83.504,81.566
"126",FALSE,"video",98.566,96.934,102.816
"126",TRUE,"video",78.064,192.474,30.26
"127",TRUE,"video",84.354,211.276,5.644
"127",FALSE,"video",48.45,238.748,9.146
"128",TRUE,"f2f",7.14,123.522,170.68
"128",FALSE,"f2f",11.934,158.882,127.296
"129",TRUE,"f2f",11.934,233.682,52.87
"129",FALSE,"f2f",6.188,154.666,140.794
"130",FALSE,"video",70.312,230.622,0.646
"130",TRUE,"video",43.622,224.604,28.424
"131",TRUE,"video",43.554,247.86,5.542
"132",FALSE,"f2f",6.018,268.94,26.486
"132",TRUE,"f2f",2.958,242.318,55.012
"133",TRUE,"f2f",20.536,202.64,76.874
"133",FALSE,"f2f",13.328,239.462,48.892
"134",TRUE,"video",12.342,249.05,37.842
"135",FALSE,"video",126.412,106.114,69.428
"135",TRUE,"video",45.05,235.994,17.918
"136",TRUE,"f2f",2.414,260.202,36.516
"136",FALSE,"f2f",15.98,276.726,4.93
"137",FALSE,"f2f",17.476,134.028,150.11
"137",TRUE,"f2f",6.222,202.334,90.032
"138",FALSE,"video",163.03,112.064,26.044
"138",TRUE,"video",7.31,264.214,29.138
"139",FALSE,"video",87.278,203.286,10.608
"140",TRUE,"f2f",23.46,232.866,43.35
"140",FALSE,"f2f",141.746,148.478,10.574
"141",TRUE,"f2f",2.448,291.754,4.658
"141",FALSE,"f2f",0.068,294.78,6.052
"142",FALSE,"video",96.866,52.87,212.67
"142",TRUE,"video",94.044,181.9,24.106
"143",TRUE,"video",124.066,174.114,3.978
"143",FALSE,"video",268.26,2.72,26.758
"144",FALSE,"f2f",208.556,64.498,25.5
"144",TRUE,"f2f",92.14,206.448,0.102
"145",TRUE,"f2f",92.82,134.844,71.468
"145",FALSE,"f2f",118.048,124.508,59.194
"146",TRUE,"f2f",41.174,229.058,26.826
