"gender","age","format","purchased","amount","meanval","elength"
"female",29,"quantity-sequential",0,0,0.5,243
"male",63,"quantity-sequential",1,1,0.742424242,200
"female",35,"quantity-sequential",0,0,0.455882353,347
"male",55,"quantity-sequential",0,0,0.5,294
"female",45,"quantity-integrated",0,0,0.046875,31
"female",50,"quantity-integrated",1,1,0.890625,506
"male",43,"quantity-integrated",0,0,0.177419355,105
"female",51,"quantity-sequential",0,0,0.25,120
"female",37,"quantity-integrated",1,1,0.390625,94
"female",19,"quantity-sequential",1,1,0.515151515,85
"male",36,"quantity-integrated",1,1,0.545454545,76
"male",29,"quantity-sequential",0,0,0.212121212,173
"female",54,"quantity-sequential",1,2,0.609375,127
"female",57,"quantity-integrated",0,0,0.1,29
"male",29,"quantity-sequential",1,2,0.455882353,151
"female",45,"quantity-integrated",0,0,0.191176471,136
"female",25,"quantity-sequential",0,0,0.727272727,441
"male",50,"quantity-integrated",0,0,0.397058824,161
"female",37,"quantity-integrated",0,0,0.09375,36
"female",33,"quantity-sequential",0,0,0.318181818,205
"male",39,"quantity-integrated",0,0,0.220588235,63
"male",67,"quantity-sequential",0,0,0.666666667,99
"female",34,"quantity-integrated",0,0,0.833333333,290
"male",39,"quantity-integrated",0,0,0.590909091,118
"female",46,"quantity-sequential",0,0,0.588235294,312
"female",27,"quantity-sequential",0,0,0.40625,89
"male",36,"quantity-sequential",0,0,0.532258065,217
"other",40,"quantity-sequential",0,0,0.333333333,36
"female",32,"quantity-integrated",0,0,0.088235294,64
"female",21,"quantity-integrated",0,0,0.621212121,299
"female",25,"quantity-sequential",0,0,0.109375,91
"female",33,"quantity-sequential",0,0,0.5,240
"female",31,"quantity-integrated",1,1,0.689655172,389
"male",39,"quantity-sequential",0,0,0.073529412,64
"male",48,"quantity-sequential",0,0,0.435483871,205
"male",32,"quantity-integrated",0,0,0.532258065,115
"male",28,"quantity-integrated",0,0,0.1875,76
"female",28,"quantity-sequential",0,0,0.196969697,74
"female",37,"quantity-sequential",0,0,0.366666667,171
"male",34,"quantity-sequential",0,0,0.161290323,138
"female",30,"quantity-integrated",1,4,0.393939394,44
"male",35,"quantity-sequential",0,0,0.424242424,128
"female",49,"quantity-integrated",0,0,0.28125,158
"female",56,"quantity-integrated",0,0,0.703125,633
"male",42,"quantity-integrated",0,0,0.387096774,104
"female",42,"quantity-sequential",0,0,0.233333333,149
"female",31,"quantity-sequential",0,0,0.058823529,22
"male",27,"quantity-sequential",0,0,0.258064516,99
"male",44,"quantity-sequential",0,0,0.242424242,67
"female",39,"quantity-integrated",1,2,0.696969697,227
"female",35,"quantity-integrated",1,1,0.632352941,115
"female",20,"quantity-integrated",1,1,0.516666667,161
"female",65,"quantity-sequential",0,0,0.419354839,379
"female",40,"quantity-integrated",0,0,0.25,108
"male",25,"quantity-sequential",0,0,0.322580645,179
"female",34,"quantity-integrated",0,0,0.303030303,140
"female",59,"quantity-integrated",1,1,0.583333333,296
"female",35,"quantity-sequential",0,0,0.225806452,37
"female",40,"quantity-integrated",1,2,0.705882353,82
"male",31,"quantity-sequential",1,2,0.482758621,73
