"condition","order","conf_dying","expertise","ease_imagining","gender"
"no video","pilot first",0,5,5,2
"video","dying first",69,5,4,1
"video","pilot first",14,5,2,2
"no video","pilot first",41,4,4,2
"video","pilot first",41,5,4,2
"video","dying first",65,4,2,2
"video","dying first",95,5,1,1
"no video","dying first",19,4,5,2
"no video","dying first",0,5,5,2
"no video","dying first",19,5,4,1
"video","pilot first",0,5,5,2
"no video","pilot first",80,5,1,1
"no video","dying first",50,5,5,2
"video","dying first",18,1,5,2
"no video","dying first",22,5,5,2
"no video","dying first",18,5,2,2
"video","dying first",68,4,4,1
"no video","pilot first",85,5,2,2
"no video","dying first",57,5,4,2
"no video","pilot first",61,5,2,2
"no video","dying first",21,5,2,2
"video","dying first",62,5,4,2
"no video","dying first",2,5,5,2
"video","dying first",8,5,4,2
"no video","dying first",61,4,3,1
"video","dying first",96,5,1,2
"no video","dying first",39,4,2,2
"video","pilot first",10,5,5,2
"no video","dying first",0,5,2,2
"no video","dying first",50,2,5,2
"no video","dying first",50,3,3,2
"video","dying first",50,4,2,2
"video","dying first",78,4,3,2
"no video","pilot first",8,5,3,2
"video","dying first",86,3,1,1
"no video","dying first",10,5,1,3
"video","pilot first",0,5,5,2
"video","dying first",40,5,2,2
"no video","dying first",60,4,2,2
"no video","dying first",40,5,2,2
"video","dying first",19,5,5,2
"no video","pilot first",69,1,1,2
"video","pilot first",10,2,2,2
"no video","pilot first",71,3,1,1
"video","dying first",22,5,3,2
"video","pilot first",16,5,5,2
"video","pilot first",0,5,5,2
"no video","pilot first",4,5,5,2
"no video","dying first",2,5,2,1
"video","pilot first",66,1,3,1
"no video","dying first",0,5,4,2
"no video","dying first",53,3,4,2
"video","dying first",57,5,2,2
"no video","pilot first",90,3,1,1
"video","pilot first",10,5,2,2
"video","pilot first",30,5,2,2
"no video","pilot first",30,5,1,1
"video","dying first",82,4,2,2
"no video","pilot first",0,5,5,2
"no video","dying first",10,5,2,2
"video","pilot first",61,5,2,2
"no video","pilot first",14,5,5,2
"video","pilot first",17,5,1,2
"video","dying first",0,1,5,2
"video","dying first",70,5,2,2
"no video","dying first",9,1,5,2
"no video","pilot first",1,5,1,1
"video","pilot first",0,5,5,2
"video","dying first",0,5,5,2
"no video","pilot first",58,5,2,1
"no video","pilot first",33,4,3,2
"video","dying first",9,3,5,2
"no video","dying first",19,1,5,2
"video","pilot first",27,5,5,2
"video","dying first",30,5,2,1
"no video","dying first",29,5,3,2
"video","dying first",0,5,5,2
"no video","pilot first",10,5,3,2
"no video","dying first",7,5,4,2
"video","pilot first",0,5,4,2
"video","pilot first",70,5,1,2
"no video","pilot first",54,5,4,2
"video","pilot first",85,1,2,1
"video","dying first",29,5,5,2
"video","pilot first",50,5,4,1
"no video","dying first",10,5,1,1
"no video","pilot first",35,1,4,2
"video","pilot first",11,4,4,1
"video","pilot first",80,5,5,1
"no video","pilot first",1,5,5,2
"video","dying first",62,5,4,2
"no video","pilot first",13,5,2,2
"video","pilot first",50,5,1,1
"no video","pilot first",0,5,4,2
"video","pilot first",38,5,2,2
"no video","pilot first",94,4,1,1
"video","pilot first",30,5,3,2
"no video","dying first",20,4,1,1
"video","pilot first",20,1,2,2
"no video","pilot first",2,5,5,1
"no video","pilot first",10,5,5,2
"video","pilot first",15,5,1,2
"no video","dying first",55,5,1,2
"video","pilot first",95,5,1,1
"video","pilot first",70,4,1,2
"no video","dying first",0,5,5,2
"no video","dying first",15,1,2,1
"no video","dying first",40,5,5,1
"video","pilot first",30,5,3,2
"video","dying first",19,5,5,1
"no video","dying first",30,5,3,1
"no video","dying first",23,5,1,2
"video","pilot first",10,5,5,2
"video","pilot first",10,5,3,2
"no video","dying first",39,5,5,2
"video","dying first",13,5,5,2
"no video","dying first",20,5,4,2
"video","pilot first",14,5,4,2
