"nerror","adaptation","fontsize","position","id","acuity"
1,"AC","-0.2","3","41","normal"
0,"AC","-0.2","4","41","normal"
0,"AC","-0.2","5","41","normal"
0,"PA","-0.1","1","41","normal"
0,"PA","-0.1","2","41","normal"
0,"PA","-0.1","3","41","normal"
0,"PA","-0.1","4","41","normal"
1,"PA","-0.1","5","41","normal"
0,"AC","-0.1","1","41","normal"
0,"AC","-0.1","2","41","normal"
0,"AC","-0.1","3","41","normal"
0,"AC","-0.1","4","41","normal"
0,"AC","-0.1","5","41","normal"
0,"PA","0","1","41","normal"
0,"PA","0","2","41","normal"
0,"PA","0","3","41","normal"
0,"PA","0","4","41","normal"
0,"PA","0","5","41","normal"
0,"AC","0","1","41","normal"
0,"AC","0","2","41","normal"
0,"AC","0","3","41","normal"
0,"AC","0","4","41","normal"
0,"AC","0","5","41","normal"
4,"PA","-0.3","1","4","normal"
4,"PA","-0.3","2","4","normal"
4,"PA","-0.3","3","4","normal"
4,"PA","-0.3","4","4","normal"
4,"PA","-0.3","5","4","normal"
4,"AC","-0.3","1","4","normal"
4,"AC","-0.3","2","4","normal"
4,"AC","-0.3","3","4","normal"
4,"AC","-0.3","4","4","normal"
4,"AC","-0.3","5","4","normal"
0,"PA","-0.2","1","4","normal"
1,"PA","-0.2","2","4","normal"
1,"PA","-0.2","3","4","normal"
1,"PA","-0.2","4","4","normal"
0,"PA","-0.2","5","4","normal"
0,"AC","-0.2","1","4","normal"
0,"AC","-0.2","2","4","normal"
0,"AC","-0.2","3","4","normal"
0,"AC","-0.2","4","4","normal"
0,"AC","-0.2","5","4","normal"
0,"PA","-0.1","1","4","normal"
0,"PA","-0.1","2","4","normal"
0,"PA","-0.1","3","4","normal"
0,"PA","-0.1","4","4","normal"
0,"PA","-0.1","5","4","normal"
0,"AC","-0.1","1","4","normal"
0,"AC","-0.1","2","4","normal"
0,"AC","-0.1","3","4","normal"
0,"AC","-0.1","4","4","normal"
0,"AC","-0.1","5","4","normal"
0,"PA","0","1","4","normal"
0,"PA","0","2","4","normal"
0,"PA","0","3","4","normal"
0,"PA","0","4","4","normal"
0,"PA","0","5","4","normal"
0,"AC","0","1","4","normal"
0,"AC","0","2","4","normal"
0,"AC","0","3","4","normal"
0,"AC","0","4","4","normal"
0,"AC","0","5","4","normal"
4,"PA","-0.3","1","14","normal"
4,"PA","-0.3","2","14","normal"
4,"PA","-0.3","3","14","normal"
3,"PA","-0.3","4","14","normal"
3,"PA","-0.3","5","14","normal"
4,"AC","-0.3","1","14","normal"
4,"AC","-0.3","2","14","normal"
4,"AC","-0.3","3","14","normal"
4,"AC","-0.3","4","14","normal"
3,"AC","-0.3","5","14","normal"
0,"PA","-0.2","1","14","normal"
1,"PA","-0.2","2","14","normal"
1,"PA","-0.2","3","14","normal"
0,"PA","-0.2","4","14","normal"
0,"PA","-0.2","5","14","normal"
0,"AC","-0.2","1","14","normal"
0,"AC","-0.2","2","14","normal"
0,"AC","-0.2","3","14","normal"
0,"AC","-0.2","4","14","normal"
0,"AC","-0.2","5","14","normal"
0,"PA","-0.1","1","14","normal"
2,"PA","-0.1","2","14","normal"
0,"PA","-0.1","3","14","normal"
0,"PA","-0.1","4","14","normal"
1,"PA","-0.1","5","14","normal"
0,"AC","-0.1","1","14","normal"
0,"AC","-0.1","2","14","normal"
0,"AC","-0.1","3","14","normal"
0,"AC","-0.1","4","14","normal"
0,"AC","-0.1","5","14","normal"
0,"PA","0","1","14","normal"
0,"PA","0","2","14","normal"
0,"PA","0","3","14","normal"
0,"PA","0","4","14","normal"
0,"PA","0","5","14","normal"
0,"AC","0","1","14","normal"
0,"AC","0","2","14","normal"
0,"AC","0","3","14","normal"
0,"AC","0","4","14","normal"
0,"AC","0","5","14","normal"
3,"PA","-0.3","1","31","normal"
4,"PA","-0.3","2","31","normal"
4,"PA","-0.3","3","31","normal"
4,"PA","-0.3","4","31","normal"
4,"PA","-0.3","5","31","normal"
3,"AC","-0.3","1","31","normal"
3,"AC","-0.3","2","31","normal"
4,"AC","-0.3","3","31","normal"
4,"AC","-0.3","4","31","normal"
4,"AC","-0.3","5","31","normal"
0,"PA","-0.2","1","31","normal"
1,"PA","-0.2","2","31","normal"
2,"PA","-0.2","3","31","normal"
0,"PA","-0.2","4","31","normal"
0,"PA","-0.2","5","31","normal"
0,"AC","-0.2","1","31","normal"
1,"AC","-0.2","2","31","normal"
0,"AC","-0.2","3","31","normal"
0,"AC","-0.2","4","31","normal"
0,"AC","-0.2","5","31","normal"
1,"PA","-0.1","1","31","normal"
0,"PA","-0.1","2","31","normal"
0,"PA","-0.1","3","31","normal"
0,"PA","-0.1","4","31","normal"
0,"PA","-0.1","5","31","normal"
0,"AC","-0.1","1","31","normal"
0,"AC","-0.1","2","31","normal"
0,"AC","-0.1","3","31","normal"
0,"AC","-0.1","4","31","normal"
