"prior","post","condition","nconsensus","trust"
43,-63,"BoostPlus",1,5
43,23,"control",0,5
82,83,"consensus",1,6
43,-20,"consensus",0,6
90,57,"control",1,5
20,21,"BoostPlus",1,1
22,9,"control",2,6
29,25,"consensus",1,5
50,65,"consensus",0,7
23,0,"control",1,1
92,64,"consensus",0,2
100,93,"BoostPlus",2,3
44,41,"BoostPlus",0,3
84,50,"control",0,3
100,81,"consensus",1,5
35,15,"consensus",0,5
100,100,"BoostPlus",0,1
20,-40,"control",1,6
64,71,"control",2,3
42,0,"consensus",1,4
90,80,"BoostPlus",0,4
82,-99,"BoostPlus",2,7
80,78,"control",0,6
36,11,"consensus",1,5
100,100,"consensus",0,3
52,53,"control",1,5
20,10,"control",1,4
50,50,"control",0,5
62,-21,"consensus",1,4
40,30,"BoostPlus",1,5
60,-59,"BoostPlus",0,6
100,83,"BoostPlus",0,1
73,82,"control",0,3
100,100,"consensus",1,2
83,-37,"BoostPlus",3,6
10,10,"consensus",2,4
25,25,"control",1,5
5,5,"control",0,5
17,10,"control",0,5
15,10,"BoostPlus",1,6
80,60,"BoostPlus",1,7
46,0,"consensus",1,5
90,20,"BoostPlus",2,5
78,41,"control",0,6
52,0,"consensus",1,5
85,-49,"control",1,2
83,82,"consensus",0,1
20,20,"BoostPlus",0,5
81,-15,"control",0,3
45,-37,"BoostPlus",1,6
65,46,"control",1,6
82,55,"BoostPlus",0,3
79,-66,"consensus",0,6
100,100,"consensus",0,5
77,61,"control",0,6
80,-41,"BoostPlus",0,3
50,-12,"BoostPlus",2,6
6,8,"control",0,4
20,-62,"consensus",2,7
81,62,"consensus",0,1
38,24,"BoostPlus",2,6
59,16,"control",0,3
75,75,"BoostPlus",0,3
50,-2,"consensus",0,6
10,-15,"control",1,5
32,-20,"control",1,5
41,40,"BoostPlus",3,1
15,15,"consensus",0,5
80,20,"consensus",1,5
61,-38,"consensus",0,5
70,40,"control",0,5
68,-63,"BoostPlus",0,4
55,-43,"consensus",1,5
22,0,"control",0,5
88,68,"control",1,5
60,-40,"BoostPlus",2,6
41,22,"control",1,5
22,0,"BoostPlus",1,6
32,-28,"consensus",2,4
69,64,"control",0,6
16,-76,"BoostPlus",0,4
68,37,"consensus",0,4
71,-73,"consensus",0,6
42,35,"control",0,4
84,79,"control",0,4
100,83,"BoostPlus",1,1
90,40,"BoostPlus",0,6
73,100,"BoostPlus",3,6
29,39,"consensus",0,6
49,-1,"consensus",1,6
25,-60,"BoostPlus",2,6
33,-40,"control",0,6
