participant_id,labLocale,taskOrder,timing,trial_type,age_group,maxWrong,maxCorrect,prodSpeech_category,producer
Cardiff.19,Cardiff,point-and-name,point-and-name,point and name,7yo,5,4,Usually,Yes
Cardiff.19,Cardiff,second,immediate,experimental,7yo,5,3,Usually,Yes
Cardiff.20,Cardiff,first,delayed,experimental,7yo,5,3,Usually,Yes
Cardiff.20,Cardiff,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Cardiff.20,Cardiff,second,immediate,experimental,7yo,5,4,Usually,Yes
Cardiff.21,Cardiff,first,delayed,experimental,5yo,5,2,Never,No
Cardiff.21,Cardiff,point-and-name,point-and-name,point and name,5yo,5,1,Never,No
Cardiff.21,Cardiff,second,immediate,experimental,5yo,5,2,Never,No
Cardiff.22,Cardiff,first,delayed,experimental,7yo,5,2,Usually,Yes
Cardiff.22,Cardiff,point-and-name,point-and-name,point and name,7yo,5,2,Usually,Yes
Cardiff.22,Cardiff,second,immediate,experimental,7yo,5,3,Usually,Yes
Cardiff.23,Cardiff,first,immediate,experimental,7yo,5,2,Usually,Yes
Cardiff.23,Cardiff,point-and-name,point-and-name,point and name,7yo,5,1,Usually,Yes
Cardiff.23,Cardiff,second,delayed,experimental,7yo,5,1,Usually,Yes
Cardiff.24,Cardiff,first,delayed,experimental,10yo,5,4,Usually,Yes
Cardiff.24,Cardiff,point-and-name,point-and-name,point and name,10yo,5,3,Usually,Yes
Cardiff.24,Cardiff,second,immediate,experimental,10yo,5,4,Usually,Yes
Cardiff.25,Cardiff,first,delayed,experimental,10yo,5,3,Usually,Yes
Cardiff.25,Cardiff,point-and-name,point-and-name,point and name,10yo,5,3,Usually,Yes
Cardiff.25,Cardiff,second,immediate,experimental,10yo,5,3,Usually,Yes
Cardiff.26,Cardiff,first,immediate,experimental,10yo,5,3,Usually,Yes
Cardiff.26,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.26,Cardiff,second,delayed,experimental,10yo,5,1,Usually,Yes
Cardiff.27,Cardiff,first,delayed,experimental,10yo,5,4,Usually,Yes
Cardiff.27,Cardiff,point-and-name,point-and-name,point and name,10yo,5,5,Usually,Yes
Cardiff.27,Cardiff,second,immediate,experimental,10yo,5,5,Usually,Yes
Cardiff.28,Cardiff,first,delayed,experimental,10yo,5,4,Usually,Yes
Cardiff.28,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.28,Cardiff,second,immediate,experimental,10yo,5,4,Usually,Yes
Cardiff.29,Cardiff,first,immediate,experimental,10yo,5,4,Usually,Yes
Cardiff.29,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.29,Cardiff,second,delayed,experimental,10yo,5,3,Usually,Yes
Cardiff.30,Cardiff,first,delayed,experimental,10yo,5,4,Usually,Yes
Cardiff.30,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.30,Cardiff,second,immediate,experimental,10yo,5,5,Usually,Yes
Cardiff.31,Cardiff,first,immediate,experimental,10yo,5,5,Usually,Yes
Cardiff.31,Cardiff,point-and-name,point-and-name,point and name,10yo,5,3,Usually,Yes
Cardiff.31,Cardiff,second,delayed,experimental,10yo,5,4,Usually,Yes
Cardiff.32,Cardiff,first,delayed,experimental,10yo,5,2,Sometimes,Yes
Cardiff.32,Cardiff,point-and-name,point-and-name,point and name,10yo,5,1,Sometimes,Yes
Cardiff.32,Cardiff,second,immediate,experimental,10yo,5,3,Sometimes,Yes
Cardiff.33,Cardiff,first,immediate,experimental,5yo,5,3,Sometimes,Yes
Cardiff.33,Cardiff,point-and-name,point-and-name,point and name,5yo,5,2,Sometimes,Yes
Cardiff.33,Cardiff,second,delayed,experimental,5yo,5,1,Sometimes,Yes
Cardiff.34,Cardiff,first,immediate,experimental,6yo,5,1,Usually,Yes
Cardiff.34,Cardiff,point-and-name,point-and-name,point and name,6yo,5,1,Usually,Yes
Cardiff.34,Cardiff,second,delayed,experimental,6yo,5,1,Usually,Yes
Cardiff.35,Cardiff,first,delayed,experimental,5yo,5,3,Never,No
Cardiff.35,Cardiff,point-and-name,point-and-name,point and name,5yo,5,2,Never,No
Cardiff.35,Cardiff,second,immediate,experimental,5yo,5,2,Never,No
Cardiff.36,Cardiff,first,delayed,experimental,10yo,5,3,Usually,Yes
Cardiff.36,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.36,Cardiff,second,immediate,experimental,10yo,5,4,Usually,Yes
Cardiff.38,Cardiff,first,immediate,experimental,7yo,5,4,Usually,Yes
Cardiff.38,Cardiff,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Cardiff.38,Cardiff,second,delayed,experimental,7yo,5,4,Usually,Yes
Cardiff.39,Cardiff,first,delayed,experimental,6yo,5,2,Never,No
Cardiff.39,Cardiff,point-and-name,point-and-name,point and name,6yo,5,3,Never,No
Cardiff.39,Cardiff,second,immediate,experimental,6yo,5,2,Never,No
Cardiff.4,Cardiff,first,delayed,experimental,5yo,5,3,Usually,Yes
Cardiff.4,Cardiff,point-and-name,point-and-name,point and name,5yo,5,1,Usually,Yes
Cardiff.4,Cardiff,second,immediate,experimental,5yo,5,2,Usually,Yes
Cardiff.40,Cardiff,first,delayed,experimental,10yo,5,2,Usually,Yes
Cardiff.40,Cardiff,point-and-name,point-and-name,point and name,10yo,5,3,Usually,Yes
Cardiff.40,Cardiff,second,immediate,experimental,10yo,5,4,Usually,Yes
Cardiff.41,Cardiff,first,immediate,experimental,5yo,5,2,Never,No
Cardiff.41,Cardiff,point-and-name,point-and-name,point and name,5yo,5,2,Never,No
Cardiff.41,Cardiff,second,delayed,experimental,5yo,5,1,Never,No
Cardiff.42,Cardiff,first,delayed,experimental,10yo,5,5,Usually,Yes
Cardiff.42,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.42,Cardiff,second,immediate,experimental,10yo,5,5,Usually,Yes
Cardiff.43,Cardiff,first,delayed,experimental,6yo,5,3,Usually,Yes
Cardiff.43,Cardiff,point-and-name,point-and-name,point and name,6yo,5,3,Usually,Yes
Cardiff.43,Cardiff,second,immediate,experimental,6yo,5,4,Usually,Yes
Cardiff.45,Cardiff,first,delayed,experimental,5yo,5,3,Usually,Yes
Cardiff.45,Cardiff,point-and-name,point-and-name,point and name,5yo,5,2,Usually,Yes
Cardiff.45,Cardiff,second,immediate,experimental,5yo,5,3,Usually,Yes
Cardiff.46,Cardiff,first,delayed,experimental,10yo,5,3,Usually,Yes
Cardiff.46,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.46,Cardiff,second,immediate,experimental,10yo,4,5,Usually,Yes
Cardiff.47,Cardiff,first,delayed,experimental,6yo,5,4,Usually,Yes
Cardiff.47,Cardiff,point-and-name,point-and-name,point and name,6yo,5,3,Usually,Yes
Cardiff.47,Cardiff,second,immediate,experimental,6yo,5,3,Usually,Yes
Cardiff.48,Cardiff,first,immediate,experimental,10yo,5,5,Usually,Yes
Cardiff.48,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.48,Cardiff,second,delayed,experimental,10yo,5,4,Usually,Yes
Cardiff.49,Cardiff,first,immediate,experimental,6yo,5,3,Usually,Yes
Cardiff.49,Cardiff,point-and-name,point-and-name,point and name,6yo,5,3,Usually,Yes
Cardiff.49,Cardiff,second,delayed,experimental,6yo,5,3,Usually,Yes
Cardiff.5,Cardiff,first,delayed,experimental,5yo,5,2,Sometimes,Yes
Cardiff.5,Cardiff,point-and-name,point-and-name,point and name,5yo,5,3,Sometimes,Yes
Cardiff.5,Cardiff,second,immediate,experimental,5yo,5,1,Sometimes,Yes
Cardiff.50,Cardiff,first,delayed,experimental,7yo,5,5,Sometimes,Yes
