electrode,Value,epoch,stimuli,participant
Cz,-38.08041861,35,SH,p6_exp2
Cz,-6.02948128,36,SH,p6_exp2
Cz,-3.900135121,37,SH,p6_exp2
Cz,-9.505530292,38,SH,p6_exp2
Cz,-17.84625787,39,SH,p6_exp2
C4,-15.55902212,1,SH,p6_exp2
C4,-17.8688136,2,SH,p6_exp2
C4,-11.34285955,3,SH,p6_exp2
C4,-25.37680363,4,SH,p6_exp2
C4,-16.83444771,6,SH,p6_exp2
C4,-3.217967437,7,SH,p6_exp2
C4,-23.03876764,8,SH,p6_exp2
C4,-9.818821237,9,SH,p6_exp2
C4,-2.265204308,10,SH,p6_exp2
C4,-3.603201935,11,SH,p6_exp2
C4,-17.99484752,12,SH,p6_exp2
C4,-5.26410723,13,SH,p6_exp2
C4,-1.633426456,14,SH,p6_exp2
C4,-9.85692341,15,SH,p6_exp2
C4,-14.36275673,16,SH,p6_exp2
C4,-14.63545359,17,SH,p6_exp2
C4,-0.06750547,18,SH,p6_exp2
C4,-12.75391824,19,SH,p6_exp2
C4,-13.36832867,20,SH,p6_exp2
C4,-13.91225936,21,SH,p6_exp2
C4,-16.44718927,22,SH,p6_exp2
C4,-14.7307503,23,SH,p6_exp2
C4,-13.33817838,24,SH,p6_exp2
C4,-23.13319113,25,SH,p6_exp2
C4,-10.46537035,26,SH,p6_exp2
C4,-14.06360756,27,SH,p6_exp2
C4,-19.89206636,28,SH,p6_exp2
C4,-5.515254177,29,SH,p6_exp2
C4,-0.168843497,30,SH,p6_exp2
C4,-8.545855874,31,SH,p6_exp2
C4,-19.886427,32,SH,p6_exp2
C4,-13.9129884,33,SH,p6_exp2
C4,-10.01409734,34,SH,p6_exp2
C4,-35.22321713,35,SH,p6_exp2
C4,-8.909980235,36,SH,p6_exp2
C4,-7.964846786,37,SH,p6_exp2
C4,-6.611975401,38,SH,p6_exp2
C4,-8.072630067,39,SH,p6_exp2
Pz,-6.52027263,0,SH,p6_exp2
Pz,-2.201029901,1,SH,p6_exp2
Pz,-1.91285058,2,SH,p6_exp2
Pz,-14.49159483,3,SH,p6_exp2
Pz,-11.92397241,4,SH,p6_exp2
